time,f1
0:00:00.026416,0.0567
0:00:16.193126,0.0567
0:00:31.638871,0.0567
0:00:47.056943,0.1045
0:01:03.056784,0.1045
0:01:18.349993,0.1843
0:01:34.103806,0.3313
0:01:49.742473,0.3021
0:02:05.453953,0.3597
0:02:21.061642,0.3693
0:02:36.505210,0.3964
0:02:52.388506,0.3964
0:03:07.519422,0.3268
0:03:22.812834,0.3113
0:03:38.041944,0.3063
0:03:53.788170,0.4347
0:04:08.948901,0.4611
0:04:24.275965,0.4655
0:04:39.887841,0.4999
0:04:55.416854,0.373
0:05:11.202416,0.3725
0:05:26.850357,0.3426
0:05:42.501465,0.3526
0:05:58.042291,0.3748
0:06:13.391680,0.2745
0:06:28.916806,0.2576
0:06:44.631222,0.4772
0:07:00.096471,0.4151
0:07:15.914723,0.5042
0:07:31.465661,0.5517
0:07:47.119826,0.5503
0:08:02.384738,0.4995
0:08:17.809608,0.511
0:08:33.056601,0.5691
0:08:48.259492,0.4549
0:09:03.474336,0.3807
0:09:19.462576,0.2581
0:09:34.788863,0.2782
0:09:50.238146,0.4452
0:10:06.104049,0.4233
0:10:21.415414,0.4067
0:10:36.761119,0.4112
0:10:52.026459,0.5047
0:11:07.717614,0.4994
0:11:23.178169,0.4998
0:11:38.504158,0.5748
0:11:54.334819,0.5435
0:12:09.835746,0.5207
0:12:25.113633,0.6299
0:12:40.277288,0.5485
0:12:55.649705,0.5654
0:13:11.053577,0.6052
0:13:26.209157,0.5356
0:13:41.525641,0.5011
0:13:56.965882,0.6207
0:14:12.266351,0.5249
0:14:27.622873,0.5129
0:14:43.160710,0.5868
0:14:58.939178,0.5744
0:15:14.568318,0.5391
0:15:29.814243,0.5299
0:15:45.305330,0.6346
0:16:00.599070,0.6393
0:16:15.932799,0.6208
0:16:31.546172,0.6545
0:16:46.873183,0.6715
0:17:02.564494,0.647
0:17:17.818622,0.6578
0:17:33.054429,0.6127
0:17:48.698369,0.6366
0:18:04.271620,0.5809
0:18:19.952192,0.6322
0:18:35.158888,0.5208
0:18:51.100761,0.5096
0:19:06.899023,0.6071
0:19:22.574128,0.6267
0:19:38.641934,0.6212
0:19:54.178799,0.6712
0:20:09.522138,0.6157
0:20:25.114229,0.6043
0:20:40.537061,0.694
0:20:56.092752,0.644
0:21:11.515683,0.645
0:21:26.689845,0.6789
0:47:16.986189,0.6402
0:47:32.555173,0.682
0:47:49.060171,0.6313
0:48:04.755327,0.6475
0:48:20.619650,0.6152
0:48:36.775155,0.6202
0:48:52.280773,0.6338
0:49:07.661186,0.6572
0:49:23.193778,0.6191
0:49:38.405956,0.6474
0:49:53.810668,0.6392
0:50:09.129119,0.6295
0:50:24.579453,0.667
0:50:39.979752,0.6774
0:50:55.674848,0.6558
0:51:11.020203,0.6837
0:51:26.730042,0.6977
0:51:42.027695,0.651
0:51:57.367948,0.715
0:52:12.743181,0.6534
0:52:28.789187,0.6404
0:52:44.162236,0.7106999999999999
0:52:59.827465,0.7100000000000001
