epoch,f1
1,0.1065
2,0.1145
3,0.1189
4,0.1178
5,0.1315
6,0.1396
7,0.156
8,0.1616
9,0.1705
10,0.1685
11,0.1827
12,0.1919
13,0.2003
14,0.21119999999999997
15,0.2151
16,0.2131
17,0.2234
18,0.2339
19,0.2243
20,0.2331
21,0.2312
22,0.2385
23,0.241
24,0.2431
25,0.2495
26,0.2514
27,0.2533
28,0.2611
29,0.2637
30,0.232
31,0.2457
32,0.2496
33,0.2487
34,0.2573
35,0.259
36,0.2596
37,0.2736
38,0.271
39,0.2632
40,0.2851
41,0.2834
42,0.2755
43,0.2754
44,0.2834
45,0.2681
46,0.2842
47,0.2711
48,0.2891
49,0.2858
50,0.2824
51,0.2931
52,0.3003
53,0.2998
54,0.3053
55,0.3109
56,0.3078
57,0.314
58,0.306
59,0.3014
60,0.2981
61,0.3023
62,0.3009
63,0.3049
64,0.3075
65,0.3096
66,0.3186
67,0.3138
68,0.3122
69,0.3124
70,0.3153
71,0.3179
72,0.3206
73,0.3277
74,0.3272
75,0.3206
76,0.315
77,0.3267
78,0.3268
79,0.3093
80,0.3041
81,0.3303
82,0.3158
83,0.3393
84,0.3367
85,0.3131
86,0.3332
87,0.3415
88,0.3327
89,0.3431
90,0.3305
91,0.3356
92,0.3506
93,0.3424
94,0.3563
95,0.3442
96,0.3239
97,0.3509
98,0.3425
99,0.3501
100,0.3405
101,0.3277
102,0.3356
103,0.3521
104,0.3507
105,0.3456
106,0.3466
107,0.3536
108,0.3456
109,0.36029999999999995
110,0.3569
111,0.3512
112,0.3577
113,0.3529
114,0.35680000000000006
115,0.3607
116,0.3573
117,0.3587000000000001
118,0.3531
119,0.3647
120,0.36419999999999997
121,0.3575
122,0.3712
123,0.3492
124,0.3658
125,0.36290000000000006
126,0.36029999999999995
127,0.3691
128,0.373
129,0.36
130,0.37370000000000003
131,0.37789999999999996
132,0.3788
133,0.3641
134,0.378
135,0.369
136,0.38230000000000003
137,0.38
138,0.3562
139,0.3743
140,0.3673
