time,f1
0:00:00.012538,0.0704
0:00:15.170561,0.1133
0:00:31.314479,0.10000000000000002
0:00:46.909180,0.3121
0:01:03.094468,0.1014
0:01:18.676680,0.2217
0:01:34.307266,0.3052
0:01:49.885706,0.3363
0:02:05.286313,0.2976
0:02:20.825792,0.3348
0:02:36.335056,0.3657
0:02:51.988018,0.3716
0:03:07.473883,0.1187
0:03:23.235835,0.1162
0:03:39.020661,0.1527
0:03:54.862497,0.1787
0:04:10.182274,0.1598
0:04:25.623015,0.2312
0:04:40.985708,0.2705
0:04:56.435205,0.2662
0:05:12.241016,0.3074
0:05:28.094470,0.1954
0:05:43.586238,0.2453
0:05:59.018331,0.3758
0:06:14.325387,0.1796
0:06:29.847451,0.2508
0:06:45.645231,0.2454
0:07:02.379383,0.3179
0:07:18.026142,0.4104
0:07:33.702729,0.3767
0:07:49.468777,0.5107
0:08:04.839123,0.3596
0:08:20.755315,0.4573
0:08:36.273958,0.3258
0:08:52.263389,0.4052
0:09:08.119428,0.4884
0:09:23.625516,0.5253
0:09:39.207463,0.5636
0:09:55.043325,0.496
0:10:10.888882,0.5951
0:10:26.113673,0.3055
0:10:42.072550,0.4669
0:10:58.495860,0.4053
0:11:14.786730,0.4804
0:11:31.409266,0.6036
0:11:47.111391,0.5702
0:12:02.979338,0.5607
0:12:18.620547,0.6003
0:12:34.689972,0.5633
0:12:50.737002,0.6325
0:13:06.235407,0.5836
0:13:21.624992,0.6486
0:13:37.206055,0.6283
0:13:52.891535,0.5973
0:14:08.718316,0.5715
0:14:24.463114,0.561
0:14:40.562058,0.6092
0:14:56.129919,0.651
0:15:11.936118,0.6321
0:15:27.657551,0.6554
0:15:43.390041,0.6263
0:15:59.105291,0.688
0:16:14.779119,0.6576
0:16:30.201688,0.692
0:16:45.685135,0.5673
0:17:01.495815,0.6502
0:17:18.591822,0.678
0:17:34.259723,0.6929
0:17:50.142213,0.6728
0:18:05.744325,0.7249
0:18:21.761214,0.7255
0:18:37.477661,0.7048
0:18:53.466574,0.6948
0:19:09.482509,0.6925
0:19:25.947802,0.7183
0:19:41.881667,0.6902
0:19:57.800579,0.6895
0:20:13.809092,0.6634
0:20:30.003081,0.6797
0:20:45.472120,0.7098000000000001
0:21:01.288952,0.6862
0:21:16.752663,0.7414
0:21:32.894302,0.7305
0:21:49.667224,0.7138
0:22:06.284797,0.7304
0:22:21.815226,0.7118
0:22:37.777463,0.7326
0:22:54.155236,0.7237
0:23:10.432409,0.744
0:23:26.208589,0.7314
0:23:41.949653,0.7489
0:23:57.889007,0.6804
0:24:13.604213,0.7283999999999999
0:24:29.056653,0.7058
0:24:45.055478,0.7146
0:25:00.552786,0.7352999999999998
0:25:16.178884,0.7476
0:25:31.961234,0.7627
0:25:47.493112,0.7195
0:26:03.381839,0.7713
0:26:18.826388,0.7577000000000002
0:26:35.023813,0.7441000000000001
0:26:51.044430,0.7298000000000001
0:27:07.651464,0.7091
0:27:23.371191,0.7218
0:27:39.049899,0.767
0:27:55.002894,0.7492000000000001
0:28:10.768228,0.7096
0:28:26.585132,0.7265999999999999
0:28:42.238267,0.7489
0:28:58.042313,0.7809
0:29:14.539797,0.7631000000000001
0:29:30.250750,0.7849000000000002
0:29:45.699701,0.6979
0:30:01.399737,0.7616
0:30:16.809986,0.7486
0:30:32.995797,0.7561
0:30:48.508172,0.7619
0:31:03.988688,0.7229
0:31:19.424884,0.7831
0:31:35.171004,0.7662
0:31:50.459004,0.7733
0:32:06.392471,0.7787000000000001
0:32:22.177528,0.7803
0:32:39.212549,0.7805
0:32:55.067804,0.7059
0:33:10.757298,0.7622
0:33:26.310164,0.6464
0:33:42.201362,0.6732
0:33:58.257159,0.6931
0:34:13.947863,0.7193
0:34:29.633105,0.7725000000000001
0:34:45.326456,0.763
0:35:01.465121,0.761
0:35:17.242959,0.7649000000000001
0:35:33.141958,0.7652
0:35:48.612609,0.761
0:36:04.045953,0.7715000000000001
0:36:19.405987,0.7553
0:36:35.549677,0.7796
0:36:51.585478,0.7792
0:37:07.319834,0.7889
0:37:23.208334,0.7953
0:37:38.948804,0.7970999999999999
0:37:54.962429,0.7557999999999999
0:38:10.934649,0.7509
0:38:26.877486,0.7837
0:38:42.624252,0.7940000000000002
0:38:58.333554,0.8017
0:39:13.792414,0.7905
0:39:29.383695,0.7919
0:39:45.126804,0.7751
0:40:00.516735,0.7606
0:40:15.872189,0.7326
0:40:32.228341,0.7824
0:40:48.393035,0.7827
0:41:05.072738,0.7884
0:41:20.480183,0.7917
0:41:36.241115,0.8069
0:41:52.157874,0.7811000000000001
0:42:07.730200,0.8111
0:42:24.252376,0.8008
0:42:40.002284,0.792
0:42:56.119231,0.7981
0:43:12.050631,0.7964
0:43:28.016453,0.8008
0:43:44.133794,0.8097
0:43:59.717406,0.8158
0:44:15.862856,0.7938999999999999
0:44:32.807561,0.7625
0:44:48.715362,0.7866
0:45:05.045838,0.7527000000000001
0:45:20.897203,0.7873
0:45:38.090618,0.8033
0:45:54.587850,0.7688
