dataserver-0,1,tensor(2.3042)
dataserver-3,1,tensor(2.3202)
dataserver-2,1,tensor(2.3204)
dataserver-1,1,tensor(2.3154)
dataserver-0,2,tensor(2.2890)
dataserver-3,2,tensor(2.2727)
dataserver-1,2,tensor(2.2456)
dataserver-1,2,tensor(2.2456)
,tensor(2.2534)
dataserver-0,3,tensor(2.2053)
dataserver-0,3,tensor(2.2053)
,tensor(2.2001)
dataserver-2,3,tensor(2.2038)
dataserver-1,3,tensor(2.1563)
dataserver-3,4,tensor(2.1003)
dataserver-0,4,tensor(2.1175)
dataserver-2,4,tensor(2.0214)
dataserver-1,4,tensor(2.0393)
dataserver-3,5,tensor(2.0200)
dataserver-0,5,tensor(2.0098)
dataserver-2,5,tensor(1.9807)
dataserver-1,5,tensor(1.8888)
dataserver-3,6,tensor(1.7946)
dataserver-0,6,tensor(1.8914)
dataserver-1,6,tensor(1.8446)
dataserver-1,6,tensor(1.8446)
,tensor(2.0836)
dataserver-3,7,tensor(2.4114)
dataserver-0,7,tensor(2.1781)
dataserver-2,7,tensor(2.4451)
dataserver-1,7,tensor(2.6566)
dataserver-3,8,tensor(2.9854)
dataserver-2,8,tensor(2.1624)
dataserver-0,8,tensor(2.1761)
dataserver-1,8,tensor(2.2261)
dataserver-3,9,tensor(2.2609)
dataserver-2,9,tensor(2.1492)
dataserver-0,9,tensor(2.1277)
dataserver-1,9,tensor(2.1605)
dataserver-3,10,tensor(2.1910)
dataserver-2,10,tensor(2.0635)
dataserver-0,10,tensor(1.9443)
dataserver-1,10,tensor(2.0684)
dataserver-3,11,tensor(2.0692)
dataserver-2,11,tensor(1.9663)
dataserver-0,11,tensor(1.9928)
dataserver-1,11,tensor(2.0629)
dataserver-3,12,tensor(1.7495)
dataserver-2,12,tensor(1.8286)
dataserver-0,12,tensor(1.7703)
dataserver-1,12,tensor(1.7605)
dataserver-3,13,tensor(1.7808)
dataserver-2,13,tensor(1.6543)
dataserver-0,13,tensor(1.5391)
dataserver-1,13,tensor(1.5956)
dataserver-3,14,tensor(1.4992)
dataserver-2,14,tensor(1.4092)
dataserver-0,14,tensor(1.4516)
dataserver-1,14,tensor(1.3910)
dataserver-3,15,tensor(1.2400)
dataserver-2,15,tensor(1.1359)
dataserver-0,15,tensor(1.1647)
dataserver-1,15,tensor(1.6007)
dataserver-3,16,tensor(1.9294)
dataserver-2,16,tensor(2.0795)
dataserver-0,16,tensor(1.5127)
dataserver-1,16,tensor(1.6496)
dataserver-3,17,tensor(1.7718)
dataserver-2,17,tensor(2.4539)
dataserver-0,17,tensor(2.9677)
dataserver-1,17,tensor(1.8466)
dataserver-1,17,tensor(1.8466)
,tensor(1.7498)
dataserver-2,18,tensor(2.0375)
dataserver-0,18,tensor(2.2014)
dataserver-3,19,tensor(1.9850)
dataserver-1,18,tensor(1.9869)
dataserver-2,19,tensor(2.1411)
dataserver-0,19,tensor(2.1302)
dataserver-3,20,tensor(1.9091)
dataserver-1,19,tensor(1.7813)
dataserver-2,20,tensor(1.8459)
dataserver-0,20,tensor(1.6560)
dataserver-3,21,tensor(1.7254)
dataserver-1,20,tensor(1.4905)
dataserver-2,21,tensor(1.4927)
dataserver-0,21,tensor(1.4987)
dataserver-3,22,tensor(1.4695)
dataserver-1,21,tensor(1.6219)
dataserver-2,22,tensor(1.2507)
dataserver-0,22,tensor(1.3648)
dataserver-3,23,tensor(1.3059)
dataserver-1,22,tensor(1.4660)
dataserver-2,23,tensor(1.3196)
dataserver-0,23,tensor(1.3504)
dataserver-3,24,tensor(1.1967)
dataserver-1,23,tensor(1.4781)
dataserver-2,24,tensor(1.2623)
dataserver-0,24,tensor(1.4792)
dataserver-3,25,tensor(1.4943)
dataserver-1,24,tensor(1.1846)
dataserver-2,25,tensor(1.2675)
dataserver-0,25,tensor(0.9512)
dataserver-3,26,tensor(1.0964)
dataserver-1,25,tensor(1.3569)
dataserver-2,26,tensor(1.5089)
dataserver-0,26,tensor(1.4297)
dataserver-3,27,tensor(1.3292)
dataserver-1,26,tensor(1.2029)
dataserver-2,27,tensor(1.0387)
dataserver-0,27,tensor(1.0673)
dataserver-3,28,tensor(1.3706)
dataserver-2,28,tensor(1.2926)
dataserver-1,27,tensor(1.3245)
dataserver-0,28,tensor(1.4017)
dataserver-3,29,tensor(1.0275)
dataserver-2,29,tensor(0.8304)
dataserver-1,28,tensor(0.9108)
dataserver-0,29,tensor(1.0840)
dataserver-3,30,tensor(1.0675)
dataserver-2,30,tensor(0.8851)
dataserver-1,29,tensor(0.7867)
dataserver-0,30,tensor(0.8618)
dataserver-3,31,tensor(1.0046)
dataserver-2,31,tensor(0.9785)
dataserver-1,30,tensor(1.0067)
dataserver-0,31,tensor(0.7313)
dataserver-3,32,tensor(0.9900)
dataserver-2,32,tensor(0.9284)
dataserver-1,31,tensor(0.8148)
dataserver-0,32,tensor(0.9228)
dataserver-3,33,tensor(0.9949)
dataserver-2,33,tensor(1.1825)
dataserver-1,32,tensor(1.1306)
dataserver-0,33,tensor(0.9633)
dataserver-3,34,tensor(0.8843)
dataserver-2,34,tensor(1.2572)
dataserver-1,33,tensor(1.0979)
dataserver-1,33,tensor(1.0979)
,tensor(1.2191)
dataserver-3,35,tensor(1.1387)
dataserver-2,35,tensor(1.2015)
dataserver-0,35,tensor(1.1202)
dataserver-1,34,tensor(1.2268)
dataserver-3,36,tensor(0.9967)
dataserver-2,36,tensor(0.8068)
dataserver-0,36,tensor(1.0685)
dataserver-1,35,tensor(0.9864)
dataserver-3,37,tensor(0.8113)
dataserver-2,37,tensor(0.8697)
dataserver-0,37,tensor(0.6927)
dataserver-1,36,tensor(0.7175)
dataserver-2,38,tensor(0.7966)
dataserver-3,38,tensor(0.8238)
dataserver-0,38,tensor(0.7258)
dataserver-1,37,tensor(0.7194)
dataserver-2,39,tensor(0.7715)
dataserver-3,39,tensor(0.8534)
dataserver-0,39,tensor(0.8753)
dataserver-1,38,tensor(0.7162)
dataserver-2,40,tensor(0.8030)
dataserver-3,40,tensor(0.7080)
dataserver-0,40,tensor(0.6897)
dataserver-1,39,tensor(0.8674)
dataserver-3,41,tensor(0.8435)
dataserver-3,41,tensor(0.8435)
,tensor(0.9429)
dataserver-0,41,tensor(0.8278)
dataserver-1,40,tensor(1.0611)
dataserver-2,42,tensor(0.7590)
dataserver-3,42,tensor(0.9625)
dataserver-0,42,tensor(0.7557)
dataserver-1,41,tensor(1.0554)
dataserver-3,43,tensor(0.8175)
dataserver-3,43,tensor(0.8175)
,tensor(0.8075)
dataserver-0,43,tensor(0.9389)
dataserver-1,42,tensor(0.7854)
dataserver-3,44,tensor(0.8209)
dataserver-2,44,tensor(0.7632)
dataserver-0,44,tensor(0.7426)
dataserver-1,43,tensor(0.6920)
dataserver-3,45,tensor(0.8599)
dataserver-2,45,tensor(0.7012)
dataserver-0,45,tensor(0.7551)
dataserver-1,44,tensor(0.6039)
dataserver-3,46,tensor(0.8533)
dataserver-2,46,tensor(0.7037)
dataserver-0,46,tensor(0.6863)
dataserver-1,45,tensor(0.7864)
dataserver-3,47,tensor(0.6301)
dataserver-2,47,tensor(0.7946)
dataserver-0,47,tensor(0.8403)
dataserver-1,46,tensor(0.7408)
dataserver-3,48,tensor(0.6542)
dataserver-2,48,tensor(0.7133)
dataserver-0,48,tensor(0.6642)
dataserver-1,47,tensor(0.8224)
dataserver-3,49,tensor(0.5872)
dataserver-2,49,tensor(0.6775)
dataserver-0,49,tensor(0.7284)
dataserver-1,48,tensor(0.6579)
dataserver-3,50,tensor(0.7714)
dataserver-2,50,tensor(0.7229)
dataserver-0,50,tensor(0.6165)
dataserver-1,49,tensor(0.8049)
dataserver-3,51,tensor(0.8539)
dataserver-2,51,tensor(0.7393)
dataserver-0,51,tensor(0.7222)
dataserver-1,50,tensor(0.8158)
dataserver-3,52,tensor(0.6745)
dataserver-2,52,tensor(1.0504)
dataserver-0,52,tensor(0.7796)
dataserver-1,51,tensor(0.8685)
dataserver-3,53,tensor(1.0281)
dataserver-2,53,tensor(0.7187)
dataserver-0,53,tensor(0.7090)
dataserver-1,52,tensor(0.7562)
dataserver-3,54,tensor(0.7529)
dataserver-2,54,tensor(0.8531)
dataserver-0,54,tensor(0.8980)
dataserver-1,53,tensor(0.7153)
