epoch,f1
1,0.10380000000000002
2,0.10000000000000002
3,0.135
4,0.10000000000000002
5,0.1276
6,0.192
7,0.1947
8,0.20569999999999997
9,0.2877
10,0.4341
11,0.3604
12,0.3389
13,0.3487
14,0.3596
15,0.4814
16,0.4027
17,0.4984
18,0.2868
19,0.4105
20,0.2639
21,0.4358000000000001
22,0.4628
23,0.5735
24,0.4525
25,0.5267
26,0.5096
27,0.5743
28,0.5294
29,0.5928
30,0.5478
31,0.5723
32,0.6267
33,0.6121
34,0.6343
35,0.507
36,0.5899
37,0.6387
38,0.6473
39,0.7034
40,0.6972
41,0.6521
42,0.6768
43,0.6816
44,0.6404
45,0.5705
46,0.7135
47,0.7383000000000001
48,0.702
49,0.7173
50,0.7408
51,0.7229
52,0.7329
53,0.7331
54,0.6798
55,0.6993
56,0.7476
57,0.7246
58,0.7273
59,0.6985
60,0.7166
61,0.7434
62,0.6441
63,0.6569
64,0.5785
65,0.7081
66,0.6722
67,0.7589000000000001
68,0.7242
69,0.7299999999999999
70,0.7307
71,0.6751
72,0.7579999999999999
73,0.7084
74,0.7438
75,0.7235
76,0.6974
77,0.7629
78,0.7534
79,0.7272
80,0.7205999999999999
81,0.7471
82,0.7799
83,0.7727
84,0.7319
85,0.7633
86,0.7286
87,0.7779
88,0.7223
89,0.7731
90,0.7383000000000001
91,0.7546
92,0.6705
93,0.7764
94,0.7614
95,0.8019
96,0.7591000000000001
97,0.7571
98,0.8012
99,0.7846
100,0.8037000000000001
101,0.7832
