time,f1
0:00:00.007183,0.10209999999999998
0:00:15.279169,0.2768
0:00:30.784642,0.1559
0:00:46.407370,0.2159
0:01:02.119358,0.2356
0:01:17.784716,0.1366
0:01:33.600495,0.2225
0:01:49.250242,0.2173
0:02:05.064144,0.21929999999999997
0:02:21.119082,0.22
0:02:36.868178,0.2573
0:02:52.629582,0.2587
0:03:08.221190,0.3013
0:03:23.556972,0.305
0:03:39.619334,0.3341
0:03:55.375840,0.2893
0:04:11.549750,0.4588
0:04:26.942650,0.3516
0:04:42.281285,0.3111
0:04:57.511352,0.4619
0:05:12.975841,0.3517
0:05:28.468756,0.3599
0:05:44.334041,0.4214
0:06:00.013808,0.3351
0:06:15.882688,0.4007
0:06:31.393532,0.496
0:06:47.051520,0.5898
0:07:02.862984,0.5221
0:07:18.366592,0.5667
0:07:33.992407,0.447
0:07:49.806491,0.4363
0:08:05.820168,0.4258
0:08:21.422546,0.5654
0:08:37.731161,0.5907
0:08:53.701657,0.6365
0:09:09.585917,0.6624
0:09:25.184953,0.5878
0:09:40.831558,0.613
0:09:56.275770,0.597
0:10:11.831389,0.5207
0:10:27.872110,0.6473
0:10:43.354720,0.6383
0:10:58.671983,0.6889
0:11:14.540219,0.7002
0:11:30.170167,0.6848
0:11:45.697515,0.585
0:12:01.344350,0.7135
0:12:16.751869,0.629
0:12:32.096920,0.6723
0:12:47.407675,0.6137
0:13:02.799337,0.6998
0:13:18.089146,0.5216
0:13:33.391192,0.5958
0:13:48.674371,0.5843
0:14:03.931331,0.6119
0:14:19.223061,0.6726
0:14:34.676374,0.7032
0:14:50.116873,0.7254
0:15:05.421579,0.7128
0:15:21.009587,0.6757
0:15:36.520953,0.6818
0:15:52.300472,0.6558
0:16:07.964592,0.6664
0:16:23.944185,0.6739
0:16:39.663269,0.6912
0:16:55.407229,0.6598
0:17:11.125397,0.7247
0:17:26.659219,0.6808
0:17:43.014840,0.6767
0:17:58.839071,0.6418
0:18:14.422246,0.7356
0:18:30.400550,0.7226
0:18:46.475523,0.7089000000000001
0:19:02.030454,0.6685
0:19:17.411263,0.6896
0:19:33.841934,0.6869
0:19:49.592210,0.7235
0:20:05.150459,0.7286
0:20:21.078076,0.75
0:20:36.621727,0.736
0:20:52.212596,0.7396999999999999
0:21:07.954869,0.7467
0:21:23.482164,0.735
0:21:39.179319,0.7106999999999999
0:21:54.801919,0.7215
0:22:10.460395,0.746
0:22:25.752658,0.7498
0:22:41.134504,0.7289
0:22:56.489018,0.7288
0:23:11.771009,0.6923
0:23:27.247215,0.7439
0:23:42.680330,0.7212
0:23:58.372945,0.7467
0:24:13.687230,0.7386999999999999
0:24:29.037097,0.7033
0:24:44.320419,0.7542
0:24:59.762288,0.7485
0:25:14.969714,0.7593
0:25:30.517878,0.7516
0:25:46.359700,0.7576
0:26:02.016231,0.7628
0:26:17.554238,0.7751
0:26:33.519030,0.7531000000000001
0:26:49.227758,0.7696
0:27:04.529988,0.7663
0:27:19.887300,0.7410000000000001
0:27:35.404075,0.6926
0:27:50.691877,0.7405
0:28:06.126993,0.7623
0:28:21.845512,0.7649000000000001
0:28:37.393542,0.7704
0:28:53.215818,0.7783000000000001
0:29:09.098735,0.779
0:29:24.741614,0.7732
0:29:40.538995,0.7867
0:29:55.994117,0.7812000000000001
0:30:11.642161,0.7471
0:30:27.223833,0.7777
0:30:42.813112,0.7443000000000001
0:30:59.008983,0.7816
0:31:15.311149,0.7721
0:31:30.832230,0.7665999999999998
0:31:46.402107,0.7498
0:32:02.143945,0.7795
0:32:17.920309,0.7728
0:32:33.474524,0.7604
0:32:48.991233,0.7563
0:33:04.595235,0.7951
0:33:20.535923,0.7301
0:33:35.968223,0.7444999999999999
0:33:52.015499,0.6734
0:34:08.055790,0.7209
0:34:23.572766,0.7645
0:34:38.927206,0.7565
0:34:54.347311,0.7807
0:35:09.658253,0.7931
0:35:25.332182,0.76
0:35:40.903708,0.8026
0:35:56.178729,0.7946999999999999
0:36:11.729246,0.749
0:36:27.114022,0.7744000000000001
0:36:42.565413,0.7826000000000001
0:36:57.967812,0.7809
0:37:13.317960,0.7581000000000001
0:37:28.586896,0.7693
0:37:43.836760,0.7826000000000001
0:37:59.273040,0.7853
0:38:15.005935,0.7975999999999999
0:38:30.860412,0.7989
0:38:46.439248,0.7725000000000001
0:39:01.908427,0.7742000000000001
0:39:17.796641,0.777
0:39:33.623440,0.7589000000000001
0:39:49.190623,0.732
0:40:05.308608,0.7363
0:40:21.260866,0.7933
0:40:36.949114,0.8073
0:40:52.282445,0.816
0:41:07.608058,0.7969
0:41:23.047592,0.8032
0:41:38.325787,0.809
0:41:53.653013,0.8180999999999999
0:42:08.982726,0.7766000000000001
0:42:24.287992,0.787
0:42:39.673055,0.7783000000000001
0:42:55.015529,0.7782
0:43:10.328059,0.7784
0:43:25.496945,0.7579999999999999
0:43:41.008104,0.8032
0:43:56.293228,0.7846
0:44:11.581851,0.8057
0:44:27.541038,0.7828
0:44:43.206749,0.7796
0:44:58.972069,0.7674
0:45:14.765620,0.786
0:45:30.323988,0.754
0:45:45.806272,0.7905
0:46:01.466381,0.7873
0:46:17.121875,0.8063
0:46:32.597036,0.8198999999999999
0:46:48.092388,0.8096
0:47:03.658790,0.7769
0:47:19.662612,0.7964
0:47:35.220416,0.7584000000000001
0:47:50.704631,0.7841
0:48:06.379796,0.786
0:48:21.935242,0.7819
0:48:37.610551,0.821
0:48:53.345331,0.7631000000000001
0:49:09.071791,0.796
0:49:24.723082,0.7973
0:49:40.608849,0.8229
0:49:56.060233,0.8236
0:50:12.010470,0.8215
0:50:27.907624,0.8203
0:50:43.512155,0.7829
0:50:59.428105,0.8017
0:51:15.066952,0.8214
0:51:31.046973,0.7829999999999999
0:51:46.594407,0.8156
0:52:02.179959,0.8002000000000001
0:52:17.908392,0.804
0:52:33.274597,0.8175
0:52:48.849385,0.793
0:53:04.335820,0.8135
0:53:19.739662,0.813
0:53:35.213615,0.8186
0:53:50.686530,0.8236
0:54:06.320466,0.8232
0:54:22.311302,0.7951
0:54:37.958387,0.817
0:54:54.006578,0.828
0:55:09.755296,0.8095
0:55:25.809489,0.8093999999999999
0:55:41.325972,0.8155
0:55:57.171387,0.8196
0:56:12.492876,0.7168
0:56:27.922282,0.8219
0:56:43.504281,0.8069
0:56:59.077798,0.8086
0:57:14.950820,0.8327000000000001
0:57:30.313580,0.8288
0:57:46.103176,0.8263
0:58:01.456718,0.8297
0:58:16.902474,0.8243
0:58:32.250844,0.7992
0:58:48.131535,0.7888
0:59:03.671247,0.8240999999999999
0:59:19.177042,0.7806
0:59:34.738915,0.8158
0:59:50.068382,0.8193
