time,f1
0:00:00.023052,0.0992
0:00:15.171951,0.1518
0:00:31.182467,0.2003
0:00:47.339938,0.2251
0:01:02.593676,0.2383
0:01:18.715393,0.2563
0:01:35.250366,0.2791
0:01:50.469575,0.274
0:02:06.542684,0.3104
0:02:23.089333,0.3149
0:02:39.195000,0.3347
0:02:55.500766,0.3082
0:03:11.398099,0.3597
0:03:26.550948,0.3433
0:03:43.220788,0.3523
0:03:59.377516,0.3526
0:04:15.299194,0.3505
0:04:30.658320,0.3317
0:04:46.919098,0.3788
0:05:03.038514,0.3775
0:05:19.570155,0.3828
0:05:35.143260,0.3724
0:05:51.881534,0.37099999999999994
0:06:08.391328,0.3912
0:06:24.284277,0.399
0:06:40.485794,0.3941
0:06:56.626516,0.403
0:07:11.753672,0.4174
0:07:28.438378,0.4071
0:07:44.190373,0.4169
0:07:59.806767,0.39909999999999995
0:08:15.460375,0.4033
0:08:31.815405,0.4244
0:08:48.080401,0.41779999999999995
0:09:03.897634,0.3965
0:09:19.044599,0.4137
0:09:35.096286,0.4165
0:09:51.292292,0.4161
0:10:08.186250,0.4143
0:10:24.578700,0.4193
0:10:40.261556,0.4171
0:10:55.509297,0.4119
0:11:11.249881,0.4241
0:11:27.502423,0.45009999999999994
0:11:44.008949,0.4468
0:11:59.053352,0.4406
0:12:15.155094,0.4439000000000001
0:12:31.220630,0.4216
0:12:46.972940,0.436
0:13:03.805577,0.43390000000000006
0:13:19.716154,0.4502
0:13:35.672917,0.4491
0:13:50.697440,0.4521
0:14:06.884914,0.4588
0:14:22.943262,0.452
0:14:38.679632,0.4422
0:14:54.794568,0.4508
0:15:10.613999,0.4512
0:15:26.663236,0.4604
0:15:42.478946,0.4662
0:15:58.077933,0.4657
0:16:14.006240,0.4721
0:16:29.857925,0.4344
0:16:44.928913,0.4602
0:17:01.181799,0.45610000000000006
0:17:17.525380,0.4657
0:17:33.598662,0.4674
0:17:49.708288,0.4824
0:18:05.430687,0.4681
0:18:20.751943,0.4695
0:18:37.107142,0.4693
0:18:53.448195,0.4648
0:19:09.681721,0.4721
0:19:25.779119,0.4787
0:19:42.095602,0.4865
0:19:58.532468,0.471
0:20:14.831015,0.4699
0:20:30.808108,0.48869999999999997
0:20:46.158203,0.4807
0:21:01.271766,0.4872
0:21:17.358473,0.4953
0:21:33.622835,0.4972
0:21:49.952921,0.4708
0:22:05.880563,0.4818
0:22:22.248931,0.4942
0:22:38.105334,0.4826
0:22:54.953520,0.4868
0:23:11.557603,0.4931
0:23:27.862675,0.4696
0:23:43.849795,0.4955
0:23:59.507259,0.4902
0:24:15.956853,0.4789
0:24:31.590928,0.4838
0:24:47.198208,0.4899
0:25:03.357642,0.4846
0:25:19.395931,0.4868
0:25:35.302208,0.504
0:25:51.151189,0.5024
0:26:07.041971,0.4989
0:26:23.582618,0.484
0:26:40.151540,0.4997
0:26:56.083328,0.4825
0:27:12.205448,0.4728
0:27:27.936179,0.4957
0:27:43.969100,0.5084
0:27:59.687412,0.4939
0:28:15.333975,0.4846
0:28:31.453206,0.5054
0:28:47.740389,0.4988
0:29:03.717920,0.513
0:29:19.230589,0.4689
0:29:35.401339,0.5091
0:29:51.528954,0.4862
0:30:07.049963,0.5019
0:30:23.231858,0.5081
0:30:39.807507,0.4985
0:30:55.574565,0.5086
0:31:12.063017,0.5113
0:31:28.211625,0.5151
0:31:44.084461,0.4975
0:32:00.109641,0.4983
0:32:15.854737,0.5006
0:32:32.068768,0.5148
0:32:47.950685,0.5085
0:33:03.726664,0.5133
0:33:19.423609,0.5168
0:33:35.542636,0.5195
0:33:51.859520,0.5216
0:34:08.062552,0.506
0:34:23.554783,0.5096
0:34:39.826873,0.5065
0:34:56.040020,0.5146
0:35:12.367555,0.5172
0:35:28.671342,0.5126
0:35:45.300548,0.5135
0:36:01.080750,0.5247
0:36:17.451119,0.5157
0:36:33.411239,0.5114
0:36:49.306507,0.5304
0:37:04.938653,0.5274
0:37:20.590597,0.5221
0:37:36.191738,0.5264
0:37:52.605758,0.4827
0:38:08.138074,0.5189
0:38:23.963804,0.5245
0:38:39.830231,0.523
0:38:55.535142,0.5216
0:39:11.632336,0.5346
0:39:27.670794,0.5061
0:39:43.536019,0.5158
0:39:59.780540,0.5372
0:40:15.585060,0.5162
