epoch,f1
1,0.2262
2,0.3302
3,0.1714
4,0.192
5,0.10000000000000002
6,0.1267
7,0.3244
8,0.3295
9,0.2767
10,0.2887
11,0.2315
12,0.101
13,0.2451
14,0.21370000000000003
15,0.2591
16,0.40769999999999995
17,0.3884
18,0.4643
19,0.3911
20,0.2798
21,0.3814
22,0.4217
23,0.4482
24,0.5843
25,0.6036
26,0.5181
27,0.5479
28,0.5654
29,0.5273
30,0.5122
31,0.5506
32,0.6222
33,0.5822
34,0.6551
35,0.6178
36,0.5288
37,0.5696
38,0.6149
39,0.6277
40,0.6186
41,0.6162
42,0.6596
43,0.6319
44,0.7204
45,0.6862
46,0.629
47,0.6059
48,0.6621
49,0.676
50,0.689
51,0.671
52,0.6839
53,0.7481000000000001
54,0.7582
55,0.7566
56,0.7192
57,0.7269
58,0.6668
59,0.7283999999999999
60,0.7622
61,0.7283
62,0.7341
63,0.7281
64,0.6926
65,0.7286
66,0.7571
67,0.7681
68,0.7695
69,0.7491
70,0.7591000000000001
71,0.767
72,0.7679000000000001
73,0.7407
74,0.7336
75,0.776
75,0.776
76,0.7602999999999999
77,0.7733999999999999
78,0.7505
79,0.7302
80,0.7403000000000001
81,0.7444
82,0.7667
83,0.74
84,0.776
85,0.7561
86,0.7276
87,0.7839
88,0.7768
89,0.7548
90,0.7858
91,0.7533
92,0.7145
93,0.7787000000000001
94,0.7755
95,0.7704
96,0.7775
97,0.7833
98,0.7881000000000001
99,0.8028
100,0.8077
101,0.7951
102,0.813
103,0.7856
104,0.7993
105,0.7609
106,0.7825
107,0.7645
108,0.7868999999999999
109,0.7903
110,0.7927
111,0.7292
112,0.7926
113,0.7556
114,0.7744000000000001
115,0.7656
116,0.7606
117,0.7376
118,0.7644
119,0.7904
120,0.7873
121,0.8056000000000001
122,0.7840000000000001
123,0.7643
124,0.7677
125,0.7579999999999999
126,0.7731
127,0.7958
128,0.8214
129,0.8234
130,0.8071
131,0.8155
132,0.7361000000000001
133,0.7494
134,0.79
135,0.7952000000000001
136,0.8141
137,0.8028
138,0.8162999999999999
139,0.807
140,0.7865
141,0.8213
142,0.8046
143,0.7972
144,0.8054999999999999
145,0.8150999999999999
146,0.7351000000000001
147,0.8008
148,0.8115999999999999
149,0.8217
150,0.8002000000000001
151,0.8223
152,0.778
153,0.7803999999999999
154,0.8161
155,0.823
156,0.8226
157,0.7961
158,0.8097999999999999
159,0.8132
160,0.7727
161,0.8287
162,0.8027000000000001
163,0.824
164,0.8123
165,0.8140000000000001
166,0.8117999999999999
167,0.8223
168,0.7786
169,0.8104
170,0.7565
171,0.8131
172,0.8129
173,0.8032
174,0.8201
175,0.7725999999999998
176,0.8104
177,0.8269
178,0.8164
179,0.8136999999999999
180,0.8287
181,0.8253
182,0.8101
183,0.8211
184,0.803
185,0.8112
186,0.8284
187,0.803
188,0.8261
189,0.8166
190,0.8071
191,0.8255
192,0.7747999999999999
193,0.8175
194,0.8124
195,0.8298999999999999
196,0.8298999999999999
