time,f1
0:00:00.009031,0.0996
0:00:15.458420,0.0996
0:00:30.578465,0.1008
0:00:46.028908,0.1003
0:01:01.539969,0.1201
0:01:17.132020,0.1201
0:01:33.103859,0.1587
0:01:48.462666,0.1991
0:02:03.549691,0.2996
0:02:18.893103,0.3556
0:02:34.785159,0.3802
0:02:50.382348,0.4838
0:03:05.626098,0.5037
0:03:21.291868,0.5188
0:03:36.719177,0.3895
0:03:52.293578,0.434
0:04:07.882415,0.4436
0:04:23.439121,0.3869000000000001
0:04:39.289466,0.3647
0:04:54.633950,0.3607
0:05:09.850026,0.4513
0:05:25.362410,0.4863
0:05:40.976363,0.5661
0:05:57.201149,0.5273
0:06:12.677932,0.5066
0:06:28.137072,0.479
0:06:43.578993,0.4204
0:06:58.733405,0.4315
0:07:13.989696,0.5378
0:07:29.190826,0.5758
0:07:44.370107,0.6071
0:07:59.954513,0.5052
0:08:15.615155,0.5173
0:08:31.333485,0.4721
0:08:46.781436,0.5171
0:09:02.537131,0.5615
0:09:17.929712,0.6721
0:09:34.453268,0.6336
0:09:49.804157,0.6377
0:10:05.485682,0.5721
0:10:20.662630,0.5722
0:10:36.333266,0.5162
0:10:52.169751,0.5095
0:11:08.043992,0.6328
0:11:23.337186,0.6679
0:11:38.560868,0.6636
0:11:54.133078,0.6187
0:12:09.247840,0.6137
0:12:24.594493,0.6013
0:12:40.541826,0.5351
0:12:55.889473,0.58
0:13:11.288426,0.6219
0:13:26.798932,0.7051
0:13:42.166538,0.7021
0:13:57.714660,0.6901
0:14:12.781245,0.6507
0:14:27.929609,0.6529
0:14:43.146062,0.5771
0:14:58.420044,0.6094
0:15:13.990930,0.5864
0:15:29.378595,0.6111
0:15:44.675613,0.6548
0:16:00.158877,0.694
0:16:15.417797,0.7038
0:16:30.780467,0.6922
0:16:46.084242,0.6678
0:17:01.536202,0.6616
0:17:16.868164,0.6288
0:17:32.172145,0.6827
0:17:47.746564,0.7067
0:18:03.154699,0.6992
0:18:18.554877,0.6894
0:18:33.989132,0.683
0:18:49.670078,0.7068
0:19:05.572506,0.7151000000000001
0:19:21.095418,0.7122000000000002
0:19:36.645452,0.687
0:19:52.227310,0.6925
0:20:08.169310,0.7101999999999999
0:20:23.773168,0.6508
0:20:38.993351,0.6488
0:20:54.278801,0.7169999999999999
0:21:09.374302,0.6984
0:21:24.449213,0.7172
0:21:39.680083,0.7021
0:21:54.954973,0.7016
0:22:10.085355,0.6804
0:22:25.214658,0.6793
0:22:40.447605,0.7009
0:22:55.678032,0.7195999999999999
0:23:11.227025,0.7085
0:23:27.048387,0.7152
0:23:42.526380,0.7081
0:23:58.136397,0.7254
0:24:13.495508,0.7151000000000001
0:24:28.876798,0.6543
0:24:43.998212,0.6782
0:24:59.487106,0.7169
0:25:14.612191,0.7011
0:25:30.166670,0.7076
0:25:45.754025,0.7186
0:26:01.416816,0.6843
