epoch,f1
1,0.2614
2,0.1016
3,0.1141
4,0.268
5,0.2635
6,0.233
7,0.4202
8,0.10889999999999998
9,0.2775
10,0.1227
11,0.2565
12,0.3987
13,0.2866
14,0.3953
15,0.3582
16,0.3411
17,0.2563
18,0.2531
19,0.229
20,0.36290000000000006
21,0.3567
22,0.4732
23,0.36710000000000004
24,0.3286
25,0.3745
26,0.4331
27,0.4156
28,0.5441
29,0.5237
30,0.5914
31,0.3975
32,0.3757
33,0.3484
34,0.5305
35,0.5393
36,0.2945
37,0.3199
38,0.39909999999999995
39,0.4135
40,0.4439000000000001
41,0.5189
42,0.4543
43,0.5774
44,0.4913
45,0.5361
46,0.498
47,0.5515
48,0.5783
49,0.5264
50,0.5786
51,0.5939
52,0.5907
53,0.6147
54,0.5737
55,0.5626
56,0.5516
57,0.6064
58,0.6026
59,0.7194
60,0.5739
61,0.7094
62,0.605
63,0.6563
64,0.7027
65,0.7173
66,0.7049
67,0.7326
68,0.6968
69,0.6762
70,0.6951
71,0.7336
72,0.7106
73,0.7007
74,0.6851
75,0.723
76,0.6731
77,0.7024
78,0.6185
79,0.7186
80,0.7383000000000001
81,0.7276
82,0.7386999999999999
83,0.7411000000000001
84,0.7411000000000001
85,0.7299
86,0.7659
87,0.7636
88,0.7733
89,0.7764
90,0.7704
91,0.776
92,0.6836
93,0.7262000000000001
94,0.714
95,0.7117
